"Timestamp","What is your age?","What is your gender?","Which city do you currently reside in?","Which university did you get your bachelor's degree from?","What was your field of study?","What CGPA did you graduate with?","Did you do any online courses besides academic courses while you were enrolled in your bachelor's program?","How often did you resort to online courses each semester?","How many online courses did you do altogether?","How have these online courses helped you?","Are you currently employed?","What kind of job are you currently employed in?","What is your current monthly earning?","How long did it take you to get a job after graduation?","How satisfied are you with your current job?"
"2024/04/06 2:24:01 AM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","Immediately after","5"
"2024/04/06 2:42:35 AM GMT+6","31 - 35","Male","Calgary","University of Calgary","Business/Economics","3.0 - 3.5","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Part-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/06 2:43:10 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/06 2:43:31 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Business/Economics","3.5 - 4.0","Yes","Often","4 - 6","Skill development","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/06 2:43:53 AM GMT+6","31 - 35","Female","Alberta","University of Alberta","Business/Economics","3.0 - 3.5","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Part-time employment","50,000 - 80,000","3-6 months","4"
"2024/04/06 2:44:20 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Skill development;Better time management","Yes","Full-time employment","110,000 - 150,000","3-6 months","4"
"2024/04/06 2:44:59 AM GMT+6","31 - 35","Female","Alberta","University of Alberta","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","1-3 months","4"
"2024/04/06 2:45:23 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","Skill development;Better time management","Yes","Freelancing","80,000 - 110,000","3-6 months","5"
"2024/04/06 2:45:47 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Part-time employment","50,000 - 80,000","1-3 months","5"
"2024/04/06 2:46:09 AM GMT+6","31 - 35","Female","Alberta","University of Alberta","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development","Yes","Freelancing","80,000 - 110,000","3-6 months","4"
"2024/04/06 2:46:33 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Business/Economics","3.5 - 4.0","Yes","Rarely","1 - 3","Skill development;A better understanding of academic courses","Yes","Part-time employment","80,000 - 110,000","6-9 months","3"
"2024/04/06 2:46:58 AM GMT+6","31 - 35","Male","Alberta","University of Alberta","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","Skill development;Better time management","Yes","Full-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/06 2:47:51 AM GMT+6","31 - 35","Male","Dhaka","IUB","Business/Economics","3.5 - 4.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/06 2:48:11 AM GMT+6","26 - 30","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","4 - 6","Skill development","Yes","Freelancing","80,000 - 110,000","3-6 months","4"
"2024/04/06 2:48:35 AM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Freelancing","80,000 - 110,000","1-3 months","4"
"2024/04/06 2:48:53 AM GMT+6","31 - 35","Male","Chittagong","North South University","Business/Economics","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development;Better time management","No","","","",""
"2024/04/06 2:49:17 AM GMT+6","31 - 35","Male","Dhaka","IUB","Business/Economics","3.0 - 3.5","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Freelancing","80,000 - 110,000","1-3 months","4"
"2024/04/06 2:49:46 AM GMT+6","31 - 35","Male","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","1 - 3","Skill development","Yes","Part-time employment","50,000 - 80,000","1-3 months","4"
"2024/04/06 2:50:07 AM GMT+6","31 - 35","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Freelancing","110,000 - 150,000","6-9 months","5"
"2024/04/06 2:50:47 AM GMT+6","36 - 40","Male","Khulna","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/06 2:51:03 AM GMT+6","26 - 30","Male","Dhaka","Dhaka University","Business/Economics","3.0 - 3.5","Yes","Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","1-3 months","5"
"2024/04/06 2:51:18 AM GMT+6","31 - 35","Male","Khulna","Khulna University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Part-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/06 2:51:41 AM GMT+6","31 - 35","Female","Khulna","Khulna University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/06 2:52:04 AM GMT+6","31 - 35","Male","Khulna","Khulna University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","150,000 - 200,000","9-12 months","5"
"2024/04/06 2:52:24 AM GMT+6","31 - 35","Male","Khulna","Khulna University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development","Yes","Full-time employment","50,000 - 80,000","3-6 months","4"
"2024/04/06 2:52:53 AM GMT+6","36 - 40","Male","Khulna","Khulna University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","1 - 3","Skill development","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/06 2:53:14 AM GMT+6","31 - 35","Male","Khulna","Khulna University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;Budget-friendly","Yes","Full-time employment","150,000 - 200,000","6-9 months","5"
"2024/04/06 2:53:38 AM GMT+6","36 - 40","Female","Khulna","Khulna University","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;Better time management","Yes","Full-time employment","80,000 - 110,000","9-12 months","5"
"2024/04/06 2:54:00 AM GMT+6","36 - 40","Male","Khulna","Khulna University","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development","Yes","Part-time employment","50,000 - 80,000","6-9 months","5"
"2024/04/06 2:54:57 AM GMT+6","31 - 35","Male","Subang Jaya","Monash University Malaysia","Business/Economics","3.5 - 4.0","Yes","Often","4 - 6","Skill development;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","1-3 months","5"
"2024/04/06 2:55:20 AM GMT+6","36 - 40","Male","Dhaka","Monash University ","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;Budget-friendly","Yes","Full-time employment","150,000 - 200,000","6-9 months","5"
"2024/04/06 2:55:46 AM GMT+6","36 - 40","Male","Dhaka","Monash University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","1 - 3","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","6-9 months","5"
"2024/04/06 2:56:06 AM GMT+6","36 - 40","Female","Dhaka","Monash University Malaysia","Business/Economics","3.5 - 4.0","No","","","","Yes","Full-time employment","110,000 - 150,000","9-12 months","5"
"2024/04/06 2:56:32 AM GMT+6","31 - 35","Male","Subang Jaya","Monash University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/06 2:56:57 AM GMT+6","36 - 40","Female","Kuala Lampur","Monash University Malaysia","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;Budget-friendly","Yes","Freelancing","110,000 - 150,000","9-12 months","5"
"2024/04/06 2:57:32 AM GMT+6","36 - 40","Male","Subang Jaya","Segi University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","6-9 months","5"
"2024/04/06 3:01:23 AM GMT+6","36 - 40","Female","Dhaka","Ahsanullah University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;Better time management","Yes","Full-time employment","80,000 - 110,000","6-9 months","5"
"2024/04/06 3:01:45 AM GMT+6","31 - 35","Female","Dhaka","Ahsanullah University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development","Yes","Part-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/06 3:02:07 AM GMT+6","31 - 35","Male","Dhaka","Ahsanullah University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","4 - 6","Skill development;Budget-friendly","Yes","Freelancing","80,000 - 110,000","3-6 months","5"
"2024/04/06 3:02:29 AM GMT+6","31 - 35","Male","Dhaka","Ahsanullah University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","4 - 6","Budget-friendly","Yes","Full-time employment","110,000 - 150,000","6-9 months","4"
"2024/04/06 3:02:52 AM GMT+6","31 - 35","Female","Dhaka","Ahsanullah University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Very Often","7 - 9","Skill development;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/06 8:57:21 AM GMT+6","21 - 25","Male","Sylhet","KUET","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/06 8:59:00 AM GMT+6","26 - 30","Male","Sylhet","Leading University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","Less than a month","4"
"2024/04/06 9:01:44 AM GMT+6","26 - 30","Female","Sylhet","Leading University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","Less than a month","4"
"2024/04/06 9:03:55 AM GMT+6","21 - 25","Female","Sylhet","Leading University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","110,000 - 150,000","Immediately after","4"
"2024/04/06 9:13:52 AM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Sometimes","1 - 3","Skill development;Budget-friendly","Yes","Full-time employment","Under 20,000","3-6 months","2"
"2024/04/06 9:18:27 AM GMT+6","26 - 30","Female","Dhaka","IUB","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","Immediately after","3"
"2024/04/15 11:06:21 PM GMT+6","26 - 30","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","50,000 - 80,000","Less than a month","3"
"2024/04/15 11:06:38 PM GMT+6","26 - 30","Female","dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","No","","","","Yes","Full-time employment","50,000 - 80,000","3-6 months","4"
"2024/04/15 11:06:54 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","50,000 - 80,000","3-6 months","3"
"2024/04/27 5:19:14 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 5:19:40 PM GMT+6","21 - 25","Female","Dhaka","North South University","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","2"
"2024/04/27 5:20:11 PM GMT+6","26 - 30","Female","Dhaka","AIUB","Arts/Humanities/Social Sciences","2.5 - 3.0","No","","","","Yes","Full-time employment","20,000 - 50,000","3-6 months","3"
"2024/04/27 5:20:54 PM GMT+6","31 - 35","Female","Dhaka","Dhaka University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","150,000 - 200,000","Less than a month","4"
"2024/04/27 5:21:28 PM GMT+6","26 - 30","Female","Dhaka","IUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Rarely","1 - 3","Better time management;Budget-friendly","Yes","Full-time employment","20,000 - 50,000","3-6 months","3"
"2024/04/27 5:21:55 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","2.5 - 3.0","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","1"
"2024/04/27 5:22:36 PM GMT+6","26 - 30","Male","Dhaka","North South University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","20,000 - 50,000","1-3 months","3"
"2024/04/27 5:45:53 PM GMT+6","26 - 30","Female","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","above 200,000","Less than a month","5"
"2024/04/27 5:46:28 PM GMT+6","21 - 25","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Rarely","1 - 3","Better time management","Yes","Full-time employment","20,000 - 50,000","3-6 months","3"
"2024/04/27 5:47:02 PM GMT+6","21 - 25","Female","Dhaka","North South University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","1-3 months","1"
"2024/04/27 5:47:32 PM GMT+6","21 - 25","Female","Dhaka","IUB","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","2"
"2024/04/27 5:48:08 PM GMT+6","21 - 25","Female","Dhaka","IUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Rarely","1 - 3","Skill development","Yes","Full-time employment","20,000 - 50,000","Less than a month","3"
"2024/04/27 5:48:41 PM GMT+6","21 - 25","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Immediately after","4"
"2024/04/27 5:49:18 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","3.5 - 4.0","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 5:49:50 PM GMT+6","26 - 30","Female","Dhaka","AIUB","Business/Economics","3.5 - 4.0","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","Immediately after","4"
"2024/04/27 5:51:08 PM GMT+6","31 - 35","Male","Dhaka","North South University","Business/Economics","3.5 - 4.0","Yes","Very Often","10+","Better time management","Yes","Full-time employment","above 200,000","Immediately after","5"
"2024/04/27 5:51:38 PM GMT+6","31 - 35","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Better time management","Yes","Full-time employment","above 200,000","Immediately after","5"
"2024/04/27 5:52:11 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","10+","Skill development","Yes","Full-time employment","above 200,000","Immediately after","5"
"2024/04/27 5:52:53 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Sometimes","4 - 6","Better time management","Yes","Full-time employment","50,000-80,000","1-3 months","3"
"2024/04/27 5:53:34 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Sometimes","4 - 6","A better understanding of academic courses","Yes","Full-time employment","50,000-80,000","1-3 months","3"
"2024/04/27 5:54:06 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Less than a month","5"
"2024/04/27 5:54:37 PM GMT+6","31 - 35","Female","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 5:55:26 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","Less than a month","3"
"2024/04/27 5:55:56 PM GMT+6","26 - 30","Male","Dhaka","IUB","Arts/Humanities/Social Sciences","2.5 - 3.0","Yes","Rarely","1 - 3","Better time management","Yes","Full-time employment","20,000 - 50,000","1-3 months","2"
"2024/04/27 5:56:30 PM GMT+6","26 - 30","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Immediately after","1"
"2024/04/27 5:57:03 PM GMT+6","21 - 25","Female","Dhaka","IUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Rarely","1 - 3","A better understanding of academic courses","Yes","Full-time employment","20,000 - 50,000","Less than a month","2"
"2024/04/27 6:00:09 PM GMT+6","31 - 35","Male","Dhaka","North South University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","6-9 months","5"
"2024/04/27 6:00:47 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Part-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 6:01:14 PM GMT+6","31 - 35","Male","Dhaka","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:01:45 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:02:16 PM GMT+6","31 - 35","Male","Dhaka ","IUB","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:02:55 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:03:22 PM GMT+6","36 - 40","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:03:48 PM GMT+6","36 - 40","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Very Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:04:38 PM GMT+6","36 - 40","Female","Chittagong","CUET","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","1-3 months","5"
"2024/04/27 6:05:10 PM GMT+6","36 - 40","Female","Chittagong ","CUET","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:06:27 PM GMT+6","31 - 35","Female","Chittagong","North South University","Business/Economics","3.5 - 4.0","Yes","Very Often","7 - 9","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:06:28 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Part-time employment","110,000 - 150,000","1-3 months","5"
"2024/04/27 6:07:03 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 6:07:09 PM GMT+6","26 - 30","Male","Dhaka","AIUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:07:38 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","3-6 months","5"
"2024/04/27 6:08:23 PM GMT+6","26 - 30","Male","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Very Often","7 - 9","Skill development","Yes","Full-time employment","150,000 - 200,000","3-6 months","5"
"2024/04/27 6:08:49 PM GMT+6","31 - 35","Male","Dhaka","AIUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","6-9 months","4"
"2024/04/27 6:09:15 PM GMT+6","31 - 35","Male","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:09:45 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/27 6:10:26 PM GMT+6","31 - 35","Male","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","5"
"2024/04/27 6:11:10 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Budget-friendly","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:11:41 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:12:21 PM GMT+6","31 - 35","Female","Dhaka","AIUB","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:13:39 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 6:14:31 PM GMT+6","31 - 35","Female","Dhaka","North South University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:15:10 PM GMT+6","26 - 30","Female","Chittagong","CUET","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:15:41 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:16:08 PM GMT+6","31 - 35","Female","Dhaka","IUB","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","6-9 months","3"
"2024/04/27 6:16:36 PM GMT+6","31 - 35","Male","Chittagong","CUET","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:17:03 PM GMT+6","31 - 35","Male","Dhaka","Dhaka University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Better time management","Yes","Full-time employment","110,000 - 150,000","1-3 months","4"
"2024/04/27 6:17:38 PM GMT+6","21 - 25","Male","Dhaka","Brac University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Less than a month","4"
"2024/04/27 6:17:39 PM GMT+6","31 - 35","Female","Dhaka ","Dhaka University","Science/Technology/Engineering/Math","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses;Better time management","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:18:07 PM GMT+6","26 - 30","Female","Dhaka","North South University","Science/Technology/Engineering/Math","3.0 - 3.5","Yes","Often","7 - 9","Skill development","Yes","Full-time employment","110,000 - 150,000","Less than a month","5"
"2024/04/27 6:18:12 PM GMT+6","31 - 35","Female","Chittagong","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","4"
"2024/04/27 6:18:35 PM GMT+6","31 - 35","Male","Dhaka","Brac University","Business/Economics","3.5 - 4.0","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 6:18:46 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Business/Economics","2.5 - 3.0","Yes","Often","4 - 6","Skill development;A better understanding of academic courses","Yes","Full-time employment","80,000 - 110,000","3-6 months","3"
"2024/04/27 6:19:05 PM GMT+6","31 - 35","Female","Dhaka","Brac University","Science/Technology/Engineering/Math","3.5 - 4.0","Yes","Often","7 - 9","A better understanding of academic courses","Yes","Full-time employment","150,000 - 200,000","Immediately after","5"
"2024/04/27 9:05:17 PM GMT+6","26 - 30","Female","Dhaka","Dhaka University","Arts/Humanities/Social Sciences","2.0 - 2.5","Yes","Rarely","1 - 3","Better time management","Yes","Full-time employment","20,000 - 50,000","Less than a month","2"
"2024/04/27 9:52:46 PM GMT+6","26 - 30","Female","Dhaka","North South University","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","2"
"2024/04/27 9:53:17 PM GMT+6","26 - 30","Female","Dhaka","Brac University","Business/Economics","2.0 - 2.5","No","","","","Yes","Full-time employment","Under 20,000","Less than a month","2"
